feature,importance
numeric__purchase_month,0.2641417942869125
numeric__estimated_delivery_days,0.25956905241064926
numeric__order_revenue_per_item,0.08314283361626457
numeric__order_revenue,0.07849459107144717
categorical__customer_state_SP,0.061017761385702515
numeric__purchase_hour,0.05055338901106741
categorical__customer_state_RJ,0.038505423631723906
numeric__purchase_dayofweek,0.03159029261595865
categorical__customer_state_MG,0.022866833209982666
categorical__customer_state_BA,0.01505032151042079
categorical__customer_state_PR,0.01449569739159211
numeric__n_items,0.009146773474098917
numeric__n_sellers,0.008640229246053423
categorical__customer_state_AL,0.007788850581596591
categorical__customer_state_MA,0.007641421399304028
categorical__customer_state_CE,0.006873048585850816
numeric__is_weekend,0.006536753303300604
categorical__customer_state_RS,0.004760776786148793
numeric__n_categories,0.0046395567430241825
categorical__customer_state_ES,0.004050100996213761
categorical__customer_state_PA,0.0036910167051439854
categorical__customer_state_PE,0.0028522071053677087
categorical__customer_state_SC,0.0027150217099042454
categorical__customer_state_DF,0.002323103972619973
categorical__customer_state_GO,0.0018431102154339671
categorical__customer_state_PI,0.00160443213759432
categorical__customer_state_PB,0.0011270065266691708
categorical__customer_state_MS,0.0010397169721427814
categorical__customer_state_SE,0.001009367699691494
categorical__customer_state_RN,0.0007795547505207415
categorical__customer_state_MT,0.0007163814821460245
categorical__customer_state_RO,0.0003662271334623646
categorical__customer_state_TO,0.00020738957312113805
categorical__customer_state_AM,0.00011021343322591887
categorical__customer_state_AC,5.048655935654519e-05
categorical__customer_state_RR,3.9553357520479725e-05
categorical__customer_state_AP,1.9709408766481855e-05
