feature,importance
categorical__customer_state_RJ,0.12207578
categorical__customer_state_SP,0.09819219
numeric__purchase_month,0.06583694
categorical__customer_state_MG,0.058633547
categorical__customer_state_PR,0.056380082
categorical__customer_state_BA,0.05465835
categorical__customer_state_MA,0.047978807
numeric__estimated_delivery_days,0.04404028
categorical__customer_state_AL,0.042991918
categorical__customer_state_CE,0.04193779
numeric__n_sellers,0.031306848
categorical__customer_state_ES,0.028358584
categorical__customer_state_MS,0.02835092
categorical__customer_state_PI,0.026029715
categorical__customer_state_PA,0.023353007
categorical__customer_state_RS,0.019034551
categorical__customer_state_PE,0.01851798
categorical__customer_state_SE,0.017498642
categorical__customer_state_DF,0.016970042
categorical__customer_state_PB,0.016218511
numeric__order_revenue_per_item,0.014380443
categorical__customer_state_GO,0.013562084
categorical__customer_state_TO,0.013144115
categorical__customer_state_RN,0.013025358
numeric__n_items,0.011793242
categorical__customer_state_SC,0.0111032855
numeric__purchase_dayofweek,0.009511421
numeric__n_categories,0.009330895
numeric__order_revenue,0.008878676
numeric__is_weekend,0.008807739
numeric__purchase_hour,0.008745257
categorical__customer_state_MT,0.008351074
categorical__customer_state_RR,0.007958728
categorical__customer_state_AP,0.0030431561
categorical__customer_state_AM,0.0
categorical__customer_state_AC,0.0
categorical__customer_state_RO,0.0
