threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,roc_auc,average_precision
0.1,0.7870115061677205,0.21598571109622683,0.6180679785330948,0.3201085338009993,71086,17558,2989,4837,0.7865542648516982,0.28368274651317704
0.15,0.8613040323416606,0.27858395790145113,0.44646051622795807,0.34308719560094264,79596,9048,4332,3494,0.7865542648516982,0.28368274651317704
0.2,0.8878096817663522,0.3218828004279092,0.3460260669562995,0.33351807377301557,82939,5705,5118,2708,0.7865542648516982,0.28368274651317704
0.25,0.9038768529076396,0.3673207408765817,0.25594173268591874,0.3016793433240455,85194,3450,5823,2003,0.7865542648516982,0.28368274651317704
0.3,0.9134653260080854,0.4161311053984576,0.16547406082289803,0.2367891753519839,86827,1817,6531,1295,0.7865542648516982,0.28368274651317704
0.35,0.9179641339276459,0.4752252252252252,0.10784564272936366,0.1757967090189544,87712,932,6982,844,0.7865542648516982,0.28368274651317704
0.4,0.9191458484502955,0.5140692640692641,0.06069511883465372,0.10857142857142857,88195,449,7351,475,0.7865542648516982,0.28368274651317704
0.45,0.9195604851249093,0.6213235294117647,0.02159468438538206,0.041738700913805875,88541,103,7657,169,0.7865542648516982,0.28368274651317704
0.5,0.9194153622887944,0.6710526315789473,0.01303347814975722,0.025570318375532714,88594,50,7724,102,0.7865542648516982,0.28368274651317704
0.55,0.9193220690370063,0.7721518987341772,0.007794531050345004,0.015433270082226438,88626,18,7765,61,0.7865542648516982,0.28368274651317704
0.6,0.9191251166165647,0.8,0.004088934321492461,0.00813628273582507,88636,8,7794,32,0.7865542648516982,0.28368274651317704
0.65,0.9189592619467192,0.9,0.0011500127779197546,0.002297090352220521,88643,1,7817,9,0.7865542648516982,0.28368274651317704
0.7,0.9188867005286617,1.0,0.0001277791975466394,0.00025552574421873004,88644,0,7825,1,0.7865542648516982,0.28368274651317704
0.75,0.9188763346117964,0.0,0.0,0.0,88644,0,7826,0,0.7865542648516982,0.28368274651317704
0.8,0.9188763346117964,0.0,0.0,0.0,88644,0,7826,0,0.7865542648516982,0.28368274651317704
0.85,0.9188763346117964,0.0,0.0,0.0,88644,0,7826,0,0.7865542648516982,0.28368274651317704
0.9,0.9188763346117964,0.0,0.0,0.0,88644,0,7826,0,0.7865542648516982,0.28368274651317704
